 16 2
 801 19.9999997060053971 6
 6 6 4 4
  Initial (DFT) energy, eV, spin  1
    n      Energy
    1    -3.869077740    
    2    -2.590580861    
    3    -2.000722362    
    4    -1.384123360    
    5    -1.086738547    
    6   -0.8246915784    
  Initial self-energy (VXC) diagonal, eV, spin  1
    n      <n|V_xc|n>
    1    -4.671805672    
    2    -4.128403149    
    3    -3.383169572    
    4    -3.265678336    
    5    -3.438981753    
    6    -3.222475168    
  Bare exchange diagonal, eV, spin  1
    n      <n|Sigma_x|n>
    1    -6.746901092    
    2    -5.584810081    
    3    -1.232620415    
    4    -1.023869346    
    5    -1.428369620    
    6    -1.095433995    
  Static correlation diagonal, eV, spin  1
    n      <n|Sigma_c|n>
    1   -0.2116942203    
    2   -0.2361718545    
    3   -0.2014845670    
    4   -0.2508882460    
    5   -0.3206489236    
    6   -0.2767558370    
  Static vertex diagonal, eV, spin  1
    n      <n|Sigma_g|n>
    1    0.1507025694    
    2    0.1977786353    
    3    0.1852237030    
    4    0.2120026362    
    5    0.2713611283    
    6    0.2612449088    
  Correlation diagonal, eV, spin  1
    n         E                  <n|Sigma_c(E)|n>, complex
    1    -10.66907764        -2.429918019        0.4755527875    
    1    -10.64407764        -2.466193002        0.4864995176    
    1    -10.61907764        -2.502335615        0.4986897778    
    1    -10.59407764        -2.538381307        0.5120670429    
    1    -10.56907764        -2.574383929        0.5265899915    
    1    -10.54407764        -2.610413418        0.5422431302    
    1    -10.51907764        -2.646545582        0.5590474421    
    1    -10.49407764        -2.682844524        0.5770645616    
    1    -10.46907764        -2.719343684        0.5963901841    
    1    -10.44407764        -2.756032753        0.6171385667    
    1    -10.41907764        -2.792853209        0.6394245214    
    1    -10.39407764        -2.829698920        0.6633477185    
    1    -10.36907764        -2.866416582        0.6889775865    
    1    -10.34407765        -2.902806250        0.7163317727    
    1    -10.31907765        -2.938631363        0.7453431958    
    1    -10.29407765        -2.973652683        0.7758213222    
    1    -10.26907765        -3.007695132        0.8074269090    
    1    -10.24407765        -3.040739875        0.8396869094    
    1    -10.21907765        -3.073012541        0.8720692583    
    1    -10.19407765        -3.105024467        0.9041127978    
    1    -10.16907765        -3.137532431        0.9355739369    
    1    -10.14407765        -3.171418491        0.9665312012    
    1    -10.11907765        -3.207536370        0.9974043748    
    1    -10.09407765        -3.246588661         1.028892854    
    1    -10.06907765        -3.289072009         1.061882190    
    1    -10.04407765        -3.335277755         1.097372742    
    1    -10.01907765        -3.385305032         1.136450506    
    1    -9.994077650        -3.439051814         1.180281476    
    1    -9.969077651        -3.496179888         1.230098197    
    1    -9.944077651        -3.556071703         1.287161682    
    1    -9.919077651        -3.617796574         1.352701815    
    1    -9.894077652        -3.680090722         1.427846096    
    1    -9.869077652        -3.741346810         1.513539214    
    1    -9.844077652        -3.799611974         1.610445191    
    1    -9.819077653        -3.852606406         1.718819760    
    1    -9.794077653        -3.897790645         1.838348523    
    1    -9.769077653        -3.932521425         1.967967973    
    1    -9.744077654        -3.954333033         2.105721358    
    1    -9.719077654        -3.961349472         2.248741287    
    1    -9.694077655        -3.952761029         2.393471308    
    1    -9.669077655        -3.929199969         2.536197662    
    1    -9.644077655        -3.892783651         2.673828921    
    1    -9.619077656        -3.846651237         2.804671253    
    1    -9.594077656        -3.794041952         2.928830258    
    1    -9.569077656        -3.737244635         3.047966211    
    1    -9.544077657        -3.676884003         3.164431145    
    1    -9.519077657        -3.611879266         3.280134980    
    1    -9.494077658        -3.540101058         3.395620886    
    1    -9.469077658        -3.459452036         3.509731705    
    1    -9.444077658        -3.368928520         3.620005548    
    1    -9.419077659        -3.269218932         3.723647786    
    1    -9.394077659        -3.162569351         3.818673190    
    1    -9.369077659        -3.051969329         3.904714671    
    1    -9.344077660        -2.940036970         3.983154699    
    1    -9.319077660        -2.828095634         4.056587869    
    1    -9.294077660        -2.715757771         4.127926911    
    1    -9.269077661        -2.601029177         4.199521370    
    1    -9.244077661        -2.480757229         4.272503532    
    1    -9.219077662        -2.351247253         4.346402907    
    1    -9.194077662        -2.208956812         4.419012198    
    1    -9.169077662        -2.051213511         4.486522096    
    1    -9.144077663        -1.876851235         4.543961108    
    1    -9.119077663        -1.686596409         4.585901862    
    1    -9.094077663        -1.483071886         4.607257754    
    1    -9.069077664        -1.270451421         4.603927292    
    1    -9.044077664        -1.053964158         4.573153662    
    1    -9.019077664       -0.8394406086         4.513669409    
    1    -8.994077665       -0.6329191802         4.425774260    
    1    -8.969077665       -0.4402117606         4.311375922    
    1    -8.944077666       -0.2663972190         4.173887874    
    1    -8.919077666       -0.1153542947         4.017902586    
    1    -8.894077666        0.1052391472E-01     3.848690732    
    1    -8.869077667        0.1103781974         3.671656278    
    1    -8.844077667        0.1847268642         3.491861184    
    1    -8.819077667        0.2351757971         3.313685673    
    1    -8.794077668        0.2640773165         3.140646005    
    1    -8.769077668        0.2742119272         2.975346107    
    1    -8.744077669        0.2685282585         2.819507699    
    1    -8.719077669        0.2499282683         2.674033376    
    1    -8.694077669        0.2210692126         2.539099570    
    1    -8.669077670        0.1841836760         2.414306807    
    1    -8.644077670        0.1409609144         2.298899303    
    1    -8.619077670        0.9254038390E-01     2.192015473    
    1    -8.594077671        0.3962461874E-01     2.092891193    
    1    -8.569077671       -0.1734671738E-01     2.000950330    
    1    -8.544077671       -0.7805206216E-01     1.915781341    
    1    -8.519077672       -0.1422309256         1.837065488    
    1    -8.494077672       -0.2097015317         1.764537033    
    1    -8.469077673       -0.2803881055         1.698009625    
    1    -8.444077673       -0.3542988808         1.637438928    
    1    -8.419077673       -0.4314466852         1.582961794    
    1    -8.394077674       -0.5117524898         1.534873812    
    1    -8.369077674       -0.5949824014         1.493553133    
    1    -8.344077674       -0.6807420390         1.459369853    
    1    -8.319077675       -0.7685174772         1.432619600    
    1    -8.294077675       -0.8577333229         1.413498371    
    1    -8.269077676       -0.9478003200         1.402112834    
    1    -8.244077676        -1.038138009         1.398507980    
    1    -8.219077676        -1.128172324         1.402692930    
    1    -8.194077677        -1.217317690         1.414652294    
    1    -8.169077677        -1.304955793         1.434339593    
    1    -8.144077677        -1.390419808         1.461655664    
    1    -8.119077678        -1.472988082         1.496415435    
    1    -8.094077678        -1.551891297         1.538303081    
    1    -8.069077678        -1.626343981         1.586815754    
    1    -8.044077679        -1.695618180         1.641207373    
    1    -8.019077679        -1.759171270         1.700464944    
    1    -7.994077680        -1.816811350         1.763365967    
    1    -7.969077680        -1.868839041         1.828653594    
    1    -7.944077680        -1.916072738         1.895312329    
    1    -7.919077681        -1.959685432         1.962848386    
    1    -7.894077681        -2.000870514         2.031430610    
    1    -7.869077681        -2.040467446         2.101787130    
    1    -7.844077682        -2.078731455         2.174876229    
    1    -7.819077682        -2.115375242         2.251480554    
    1    -7.794077683        -2.149877561         2.331928168    
    1    -7.769077683        -2.181919126         2.416097222    
    1    -7.744077683        -2.211729256         2.503740633    
    1    -7.719077684        -2.240138075         2.595017077    
    1    -7.694077684        -2.268241247         2.690994019    
    1    -7.669077684        -2.296762886         2.793871494    
    1    -7.644077685        -2.325347916         2.906793156    
    1    -7.619077685        -2.352029848         3.033292628    
    1    -7.594077685        -2.373009164         3.176541088    
    1    -7.569077686        -2.382748920         3.338555641    
    1    -7.544077686        -2.374345703         3.519451911    
    1    -7.519077687        -2.340171841         3.716777059    
    1    -7.494077687        -2.272840561         3.924997349    
    1    -7.469077687        -2.166535109         4.135325118    
    1    -7.444077688        -2.018604579         4.336180313    
    1    -7.419077688        -1.831065324         4.514567364    
    1    -7.394077688        -1.611379971         4.658384689    
    1    -7.369077689        -1.371863450         4.759179625    
    1    -7.344077689        -1.127493092         4.814383628    
    1    -7.319077689       -0.8926626152         4.828030548    
    1    -7.294077690       -0.6780259227         4.809552566    
    1    -7.269077690       -0.4885559769         4.771120487    
    1    -7.244077691       -0.3233258185         4.724551425    
    1    -7.219077691       -0.1767882393         4.678761795    
    1    -7.194077691       -0.4092662460E-01     4.638311289    
    1    -7.169077692        0.9237543869E-01     4.603149613    
    1    -7.144077692        0.2292594413         4.569429351    
    1    -7.119077692        0.3725050822         4.531121680    
    1    -7.094077693        0.5211212772         4.482040818    
    1    -7.069077693        0.6710135939         4.417740056    
    1    -7.044077694        0.8165085114         4.336714960    
    1    -7.019077694        0.9521954541         4.240558491    
    1    -6.994077694         1.074433410         4.133114973    
    1    -6.969077695         1.182058052         4.019059273    
    1    -6.944077695         1.276198724         3.902468094    
    1    -6.919077695         1.359435695         3.785821665    
    1    -6.894077696         1.434655163         3.669634327    
    1    -6.869077696         1.503940784         3.552724359    
    1    -6.844077696         1.567794003         3.433015251    
    1    -6.819077697         1.624923176         3.308637018    
    1    -6.794077697         1.672703123         3.178960577    
    1    -6.769077698         1.708152666         3.045167645    
    1    -6.744077698         1.729036304         2.910137432    
    1    -6.719077698         1.734653921         2.777747675    
    1    -6.694077699         1.726078183         2.651927898    
    1    -6.669077699         1.705875462         2.535823069    
    1    -6.644077699         1.677516595         2.431274777    
    1    -6.619077700         1.644696750         2.338656300    
    1    -6.594077700         1.610713932         2.257006326    
    1    -6.569077701         1.577994323         2.184388604    
    1    -6.544077701         1.547830752         2.118402581    
    1    -6.519077701         1.520386502         2.056742234    
    1    -6.494077702         1.494964283         1.997662825    
    1    -6.469077702         1.470448704         1.940224087    
    1    -6.444077702         1.445760219         1.884262969    
    1    -6.419077703         1.420172486         1.830165354    
    1    -6.394077703         1.393437507         1.778572368    
    1    -6.369077703         1.365763185         1.730134770    
    1    -6.344077704         1.337730541         1.685351353    
    1    -6.319077704         1.310209886         1.644457390    
    1    -6.294077705         1.284271387         1.607312717    
    1    -6.269077705         1.261039178         1.573280971    
    1    -6.244077705         1.241447661         1.541156115    
    1    -6.219077706         1.225922896         1.509228220    
    1    -6.194077706         1.214092911         1.475552452    
    1    -6.169077706         1.204674360         1.438393833    
    1    -6.144077707         1.195643433         1.396707510    
    1    -6.119077707         1.184673929         1.350455546    
    1    -6.094077707         1.169683188         1.300617567    
    1    -6.069077708         1.149270182         1.248902333    
    1    -6.044077708         1.122902504         1.197306203    
    1    -6.019077709         1.090847513         1.147700574    
    1    -5.994077709         1.053946589         1.101565225    
    1    -5.969077709         1.013353503         1.059888092    
    1    -5.944077710        0.9703197985         1.023185645    
    1    -5.919077710        0.9260557106        0.9915784070    
    1    -5.894077710        0.8816531935        0.9648701535    
    1    -5.869077711        0.8380383726        0.9426088259    
    1    -5.844077711        0.7959244985        0.9241366998    
    1    -5.819077712        0.7557577013        0.9086543443    
    1    -5.794077712        0.7176745699        0.8953187375    
    1    -5.769077712        0.6815059658        0.8833709476    
    1    -5.744077713        0.6468507932        0.8722569768    
    1    -5.719077713        0.6132070902        0.8616914521    
    1    -5.694077713        0.5801094966        0.8516358721    
    1    -5.669077714        0.5472146132        0.8422106783    
    1    -5.644077714        0.5143094424        0.8335975283    
    1    -5.619077714        0.4812680290        0.8259852446    
    1    -5.594077715        0.4480097929        0.8195736237    
    1    -5.569077715        0.4145013066        0.8146046257    
    1    -5.544077716        0.3808037213        0.8113720138    
    1    -5.519077716        0.3471309327        0.8101775954    
    1    -5.494077716        0.3138726789        0.8112381204    
    1    -5.469077717        0.2815528673        0.8145761325    
    1    -5.444077717        0.2507202484        0.8199379788    
    1    -5.419077717        0.2217921758        0.8267768817    
    1    -5.394077718        0.1948904298        0.8343256899    
    1    -5.369077718        0.1697219630        0.8417619732    
    1    -5.344077719        0.1455591424        0.8484344418    
    1    -5.319077719        0.1213498529        0.8540838185    
